item,itemLabel,position,positionLabel,start,psid
Q108477781,Essa Kayd,Q104869321,Minister of Foreign Affairs,2020-03-03,Q108477781-D2FA851B-307F-4C87-970E-4D74674826FF
Q17155777,Muse Bihi Abdi,Q25906534,President of Somaliland,2017-12-13,Q17155777-A1EE12D6-876F-4452-B63F-900BA478021A
Q3675842,Abdirahman Saylici,Q16885384,Vice President of Somaliland,2010-07-27,Q3675842-03e4eacc-436a-dbcd-3b77-ff162304d5fc
Q86259082,Omar Ali Abdillahi,Q112667605,Health minister of Somaliland,2019-04-14,Q86259082-91dd17b5-48f4-8146-28f6-4a9878b3bf29
