item,itemLabel,minister,ministerLabel,began,ended
Q85785701,Ministry of Agriculture,,,,
Q85785711,Ministry of Defence,,,,
Q85785717,Ministry of Education,,,,
Q29570081,Ministry of Energy & Minerals,,,2012,
Q85785724,Ministry of Finance,,,,
Q30598160,Ministry of Foreign Affairs,,,,
Q85785731,Ministry of Health,,,,
Q85785738,Ministry of Interior,,,1991,
Q56274394,Ministry of Justice,,,,
Q85785761,Ministry of Telecommunications and Technology,,,2017,
Q85785766,Ministry of Water Resources,,,,
