who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
43009331,Q25906534,5th President of Somaliland,2017-12-13,,Q380187,Ahmed Mohamed Mohamoud,,,0
43009331,"Peace, Unity, and Development Party","Chairman of Peace, Unity, and Development Party",2010,,Q380187,Ahmed Mohamed Mohamoud,,,1
43009331,Ministry of Interior (Somaliland),Minister of Interior,1993,1995,Suleiman Mohamoud Adan,Suleiman Mohamoud Adan,Ministry of Interior (Somaliland),Ahmed Jaambiir Suldan,2
